[2023-07-08 13:11:16,085] Register_Step 01:Navigate to register Page
[2023-07-08 13:11:17,258] Register_Step 02: Enter to fistName Textbox with values 'Automation'
[2023-07-08 13:11:17,333] Register_Step 03: Enter to LastName Textbox with values 'FC'
[2023-07-08 13:11:17,376] Register_Step 04: Enter to emailadress Textbox with values 'afc3619@gmail.com'
[2023-07-08 13:11:17,436] Register_Step 05: Enter to password Textbox with values '123456'
[2023-07-08 13:11:17,488] Register_Step 06: Enter to confirmPassword Textbox with values '123456'
[2023-07-08 13:11:17,526] Register_Step 07: click to register Button
[2023-07-08 13:11:18,591] Register_Step 08: verify register sucess Massage is displayed
[2023-07-08 13:11:18,626]  -------------------------- FAILED -------------------------- 
[2023-07-08 13:11:18,640] Login_Step 01: Navigate to login page
[2023-07-08 13:11:19,295] Login_Step 02: Enter to email textbox
[2023-07-08 13:11:19,343] Login_Step 03: enter to password textbox
[2023-07-08 13:11:19,382] Login_Step 04: Click to login button
[2023-07-08 13:11:20,328] Login_Step 05: verify my account link display
[2023-07-08 13:11:30,403]  -------------------------- FAILED -------------------------- 
[2023-07-08 13:11:30,404] Login_Step 06: Navigate to customer infor page
[2023-07-08 13:11:31,072] Login_Step 07: verify my account page displayed
[2023-07-08 13:11:31,123]  -------------------------- FAILED -------------------------- 
[2023-07-08 13:12:01,762] Register_Step 01:Navigate to register Page
[2023-07-08 13:12:02,778] Register_Step 02: Enter to fistName Textbox with values 'Automation'
[2023-07-08 13:12:02,849] Register_Step 03: Enter to LastName Textbox with values 'FC'
[2023-07-08 13:12:02,903] Register_Step 04: Enter to emailadress Textbox with values 'afc9160@gmail.com'
[2023-07-08 13:12:02,961] Register_Step 05: Enter to password Textbox with values '123456'
[2023-07-08 13:12:03,022] Register_Step 06: Enter to confirmPassword Textbox with values '123456'
[2023-07-08 13:12:03,077] Register_Step 07: click to register Button
[2023-07-08 13:12:04,059] Register_Step 08: verify register sucess Massage is displayed
[2023-07-08 13:12:04,096]  -------------------------- FAILED -------------------------- 
[2023-07-08 13:12:04,104] Login_Step 01: Navigate to login page
[2023-07-08 13:12:04,557] Login_Step 02: Enter to email textbox
[2023-07-08 13:12:04,660] Login_Step 03: enter to password textbox
[2023-07-08 13:12:04,739] Login_Step 04: Click to login button
[2023-07-08 13:12:05,427] Login_Step 05: verify my account link display
[2023-07-08 13:12:15,574]  -------------------------- FAILED -------------------------- 
[2023-07-08 13:12:15,574] Login_Step 06: Navigate to customer infor page
[2023-07-08 13:12:16,036] Login_Step 07: verify my account page displayed
[2023-07-08 13:12:16,101]  -------------------------- FAILED -------------------------- 
[2023-07-08 13:15:28,412] Register_Step 01:Navigate to register Page
[2023-07-08 13:15:29,422] Register_Step 02: Enter to fistName Textbox with values 'Automation'
[2023-07-08 13:15:29,484] Register_Step 03: Enter to LastName Textbox with values 'FC'
[2023-07-08 13:15:29,537] Register_Step 04: Enter to emailadress Textbox with values 'afc2513@gmail.com'
[2023-07-08 13:15:29,603] Register_Step 05: Enter to password Textbox with values '123456'
[2023-07-08 13:15:29,675] Register_Step 06: Enter to confirmPassword Textbox with values '123456'
[2023-07-08 13:15:29,715] Register_Step 07: click to register Button
[2023-07-08 13:15:30,631] Register_Step 08: verify register sucess Massage is displayed
[2023-07-08 13:15:30,664]  -------------------------- FAILED -------------------------- 
[2023-07-08 13:15:30,670] Login_Step 01: Navigate to login page
[2023-07-08 13:15:31,311] Login_Step 02: Enter to email textbox
[2023-07-08 13:15:31,360] Login_Step 03: enter to password textbox
[2023-07-08 13:15:31,399] Login_Step 04: Click to login button
[2023-07-08 13:15:32,277] Login_Step 05: verify my account link display
[2023-07-08 13:15:42,794]  -------------------------- PASSED -------------------------- 
[2023-07-08 13:15:42,794] Login_Step 06: Navigate to customer infor page
[2023-07-08 13:15:43,471] Login_Step 07: verify my account page displayed
[2023-07-08 13:15:43,505]  -------------------------- PASSED -------------------------- 
[2023-07-08 13:16:24,355] Register_Step 01:Navigate to register Page
[2023-07-08 13:16:25,473] Register_Step 02: Enter to fistName Textbox with values 'Automation'
[2023-07-08 13:16:25,555] Register_Step 03: Enter to LastName Textbox with values 'FC'
[2023-07-08 13:16:25,603] Register_Step 04: Enter to emailadress Textbox with values 'afc2172@gmail.com'
[2023-07-08 13:16:25,657] Register_Step 05: Enter to password Textbox with values '123456'
[2023-07-08 13:16:25,718] Register_Step 06: Enter to confirmPassword Textbox with values '123456'
[2023-07-08 13:16:25,773] Register_Step 07: click to register Button
[2023-07-08 13:16:26,554] Register_Step 08: verify register sucess Massage is displayed
[2023-07-08 13:16:26,625]  -------------------------- FAILED -------------------------- 
[2023-07-08 13:16:26,634] Login_Step 01: Navigate to login page
[2023-07-08 13:18:43,001] Register_Step 01:Navigate to register Page
[2023-07-08 13:18:44,099] Register_Step 02: Enter to fistName Textbox with values 'Automation'
[2023-07-08 13:18:44,172] Register_Step 03: Enter to LastName Textbox with values 'FC'
[2023-07-08 13:18:44,223] Register_Step 04: Enter to emailadress Textbox with values 'afc7215@gmail.com'
[2023-07-08 13:18:44,276] Register_Step 05: Enter to password Textbox with values '123456'
[2023-07-08 13:18:44,329] Register_Step 06: Enter to confirmPassword Textbox with values '123456'
[2023-07-08 13:18:44,383] Register_Step 07: click to register Button
[2023-07-08 13:18:45,215] Register_Step 08: verify register sucess Massage is displayed
[2023-07-08 13:18:45,260]  -------------------------- PASSED -------------------------- 
[2023-07-08 13:18:45,265] Login_Step 01: Navigate to login page
[2023-07-08 13:18:45,676] Login_Step 02: Enter to email textbox
[2023-07-08 13:18:45,752] Login_Step 03: enter to password textbox
[2023-07-08 13:18:45,802] Login_Step 04: Click to login button
[2023-07-08 13:18:46,534] Login_Step 05: verify my account link display
[2023-07-08 13:18:57,082]  -------------------------- PASSED -------------------------- 
[2023-07-08 13:18:57,082] Login_Step 06: Navigate to customer infor page
[2023-07-08 13:18:57,504] Login_Step 07: verify my account page displayed
[2023-07-08 13:18:57,562]  -------------------------- PASSED -------------------------- 
[2023-07-08 13:24:48,583] Register_Step 01:Navigate to register Page
[2023-07-08 13:24:49,826] Register_Step 02: Enter to fistName Textbox with values 'Automation'
[2023-07-08 13:24:49,943] Register_Step 03: Enter to LastName Textbox with values 'FC'
[2023-07-08 13:24:49,992] Register_Step 04: Enter to emailadress Textbox with values 'afc7880@gmail.com'
[2023-07-08 13:24:50,046] Register_Step 05: Enter to password Textbox with values '123456'
[2023-07-08 13:24:50,113] Register_Step 06: Enter to confirmPassword Textbox with values '123456'
[2023-07-08 13:24:50,163] Register_Step 07: click to register Button
[2023-07-08 13:24:50,992] Register_Step 08: verify register sucess Massage is displayed
[2023-07-08 13:24:51,041]  -------------------------- PASSED -------------------------- 
[2023-07-08 13:24:51,044] Login_Step 01: Navigate to login page
[2023-07-08 13:24:51,519] Login_Step 02: Enter to email textbox
[2023-07-08 13:24:51,596] Login_Step 03: enter to password textbox
[2023-07-08 13:24:51,649] Login_Step 04: Click to login button
[2023-07-08 13:24:52,322] Login_Step 05: verify my account link display
[2023-07-08 13:25:02,421]  -------------------------- PASSED -------------------------- 
[2023-07-08 13:25:02,421] Login_Step 06: Navigate to customer infor page
[2023-07-08 13:25:02,859] Login_Step 07: verify my account page displayed
[2023-07-08 13:25:02,924]  -------------------------- PASSED -------------------------- 
[2023-07-08 14:00:41,117] Register_Step 01:Navigate to register Page
[2023-07-08 14:00:42,449] Register_Step 02: Enter to fistName Textbox with values 'Automation'
[2023-07-08 14:00:42,555] Register_Step 03: Enter to LastName Textbox with values 'FC'
[2023-07-08 14:00:42,616] Register_Step 04: Enter to emailaddress Textbox with values 'afc4298@gmail.com'
[2023-07-08 14:00:42,674] Register_Step 05: Enter to password Textbox with values '123456'
[2023-07-08 14:00:42,734] Register_Step 06: Enter to confirmPassword Textbox with values '123456'
[2023-07-08 14:00:42,791] Register_Step 07: click to register Button
[2023-07-08 14:00:43,697] Register_Step 08: verify register success Massage is displayed
[2023-07-08 14:00:43,750]  -------------------------- PASSED -------------------------- 
[2023-07-08 14:00:43,755] Login_Step 01: Navigate to login page
[2023-07-08 14:00:44,193] Login_Step 02: Enter to email textbox
[2023-07-08 14:00:44,266] Login_Step 03: enter to password textbox
[2023-07-08 14:00:44,314] Login_Step 04: Click to login button
[2023-07-08 14:00:45,130] Login_Step 05: verify my account link display
[2023-07-08 14:00:55,258]  -------------------------- PASSED -------------------------- 
[2023-07-08 14:00:55,259] Login_Step 06: Navigate to customer infor page
[2023-07-08 14:00:56,104] Login_Step 07: verify my account page displayed
[2023-07-08 14:00:56,139]  -------------------------- PASSED -------------------------- 
[2023-07-08 14:26:23,423] Register_Step 01:Navigate to register Page
[2023-07-08 14:26:24,516] Register_Step 02: Enter to fistName Textbox with values 'Automation'
[2023-07-08 14:26:24,617] Register_Step 03: Enter to LastName Textbox with values 'FC'
[2023-07-08 14:26:24,674] Register_Step 04: Enter to emailaddress Textbox with values 'afc9943@gmail.com'
[2023-07-08 14:26:24,726] Register_Step 05: Enter to password Textbox with values '123456'
[2023-07-08 14:26:24,786] Register_Step 06: Enter to confirmPassword Textbox with values '123456'
[2023-07-08 14:26:24,855] Register_Step 07: click to register Button
[2023-07-08 14:26:25,672] Register_Step 08: verify register success Massage is displayed
[2023-07-08 14:26:25,730]  -------------------------- PASSED -------------------------- 
[2023-07-08 14:26:25,734] Login_Step 01: Navigate to login page
[2023-07-08 14:26:26,369] Login_Step 02: Enter to email textbox
[2023-07-08 14:26:26,489] Login_Step 03: enter to password textbox
[2023-07-08 14:26:26,562] Login_Step 04: Click to login button
[2023-07-08 14:26:27,260] Login_Step 05: verify my account link display
[2023-07-08 14:26:37,357]  -------------------------- PASSED -------------------------- 
[2023-07-08 14:26:37,358] Login_Step 06: Navigate to customer infor page
[2023-07-08 14:26:37,836] Login_Step 07: verify my account page displayed
[2023-07-08 14:26:37,901]  -------------------------- PASSED -------------------------- 
[2023-07-09 10:49:21,175] Register_Step 01:Navigate to register Page
[2023-07-09 10:49:22,653] Register_Step 02: Enter to fistName Textbox with values 'Automation'
[2023-07-09 10:49:22,769] Register_Step 03: Enter to LastName Textbox with values 'FC'
[2023-07-09 10:49:22,828] Register_Step 04: Enter to emailaddress Textbox with values 'afc7123@gmail.com'
[2023-07-09 10:49:22,882] Register_Step 05: Enter to password Textbox with values '123456'
[2023-07-09 10:49:23,024] Register_Step 06: Enter to confirmPassword Textbox with values '123456'
[2023-07-09 10:49:23,093] Register_Step 07: click to register Button
[2023-07-09 10:49:23,939] Register_Step 08: verify register success Massage is displayed
[2023-07-09 10:49:23,994]  -------------------------- PASSED -------------------------- 
[2023-07-09 10:49:23,998] Login_Step 01: Navigate to login page
[2023-07-09 10:49:24,604] Login_Step 02: Enter to email textbox
[2023-07-09 10:49:24,696] Login_Step 03: enter to password textbox
[2023-07-09 10:49:24,766] Login_Step 04: Click to login button
[2023-07-09 10:49:25,737] Login_Step 05: verify my account link display
[2023-07-09 10:49:35,823]  -------------------------- PASSED -------------------------- 
[2023-07-09 10:49:35,824] Login_Step 06: Navigate to customer infor page
[2023-07-09 10:49:36,347] Login_Step 07: verify my account page displayed
[2023-07-09 10:49:36,409]  -------------------------- FAILED -------------------------- 
[2023-07-09 10:55:03,416] Register_Step 01:Navigate to register Page
[2023-07-09 10:55:04,735] Register_Step 02: Enter to fistName Textbox with values 'Automation'
[2023-07-09 10:55:04,833] Register_Step 03: Enter to LastName Textbox with values 'FC'
[2023-07-09 10:55:04,887] Register_Step 04: Enter to emailaddress Textbox with values 'afc2605@gmail.com'
[2023-07-09 10:55:04,970] Register_Step 05: Enter to password Textbox with values '123456'
[2023-07-09 10:55:05,043] Register_Step 06: Enter to confirmPassword Textbox with values '123456'
[2023-07-09 10:55:05,126] Register_Step 07: click to register Button
[2023-07-09 10:55:05,977] Register_Step 08: verify register success Massage is displayed
[2023-07-09 10:55:06,048] Login_Step 01: Navigate to login page
[2023-07-09 10:55:06,822] Login_Step 02: Enter to email textbox
[2023-07-09 10:55:06,890] Login_Step 03: enter to password textbox
[2023-07-09 10:55:06,932] Login_Step 04: Click to login button
[2023-07-09 10:55:08,466] Login_Step 05: verify my account link display
[2023-07-09 10:55:18,981] Login_Step 06: Navigate to customer infor page
[2023-07-09 10:55:19,501] Login_Step 07: verify my account page displayed
[2023-07-09 11:15:08,990] Register_Step 01:Navigate to register Page
[2023-07-09 11:15:10,122] Register_Step 02: Enter to fistName Textbox with values 'Automation'
[2023-07-09 11:15:10,225] Register_Step 03: Enter to LastName Textbox with values 'FC'
[2023-07-09 11:15:10,278] Register_Step 04: Enter to emailaddress Textbox with values 'afc4587@gmail.com'
[2023-07-09 11:15:10,376] Register_Step 05: Enter to password Textbox with values '123456'
[2023-07-09 11:15:10,441] Register_Step 06: Enter to confirmPassword Textbox with values '123456'
[2023-07-09 11:15:10,493] Register_Step 07: click to register Button
[2023-07-09 11:15:11,467] Register_Step 08: verify register success Massage is displayed
[2023-07-09 11:15:11,523] Login_Step 01: Navigate to login page
[2023-07-09 11:15:12,091] Login_Step 02: Enter to email textbox
[2023-07-09 11:15:12,189] Login_Step 03: enter to password textbox
[2023-07-09 11:15:12,236] Login_Step 04: Click to login button
[2023-07-09 11:15:13,034] Login_Step 05: verify my account link display
[2023-07-09 11:15:23,267] Login_Step 06: Navigate to customer infor page
[2023-07-09 11:15:24,207] Login_Step 07: verify my account page displayed
[2023-07-09 21:54:42,169] Login_Step 01: Navigate to login page
[2023-07-09 21:56:40,248] Login_Step 01: Navigate to login page
[2023-07-09 22:33:52,867] Register_Step 01:Navigate to register Page
[2023-07-09 22:33:54,506] Register_Step 02: Enter to fistName Textbox with values 'Automation'
[2023-07-09 22:34:04,671] Register_Step 03: Enter to LastName Textbox with values 'FC'
[2023-07-09 22:34:15,180] Register_Step 04: Enter to emailaddress Textbox with values 'afc2898@gmail.com'
[2023-07-09 22:34:25,683] Register_Step 05: Enter to password Textbox with values '123456'
[2023-07-09 22:34:36,208] Register_Step 06: Enter to confirmPassword Textbox with values '123456'
[2023-07-09 22:34:46,740] Register_Step 07: click to register Button
[2023-07-09 22:34:48,032] Register_Step 08: verify register success Massage is displayed
[2023-07-09 22:34:48,074] Login_Step 01: Navigate to login page
[2023-07-09 22:35:08,096] OS name = mac os x
[2023-07-09 22:35:08,096] Driver instance name = firefoxdriver: firefox on mac (49ddd60e-360a-4f17-b25d-a8dc2d7a363d)
[2023-07-09 22:36:00,021] Register_Step 01:Navigate to register Page
[2023-07-09 22:36:01,081] Register_Step 02: Enter to fistName Textbox with values 'Automation'
[2023-07-09 22:36:11,207] Register_Step 03: Enter to LastName Textbox with values 'FC'
[2023-07-09 22:36:21,716] Register_Step 04: Enter to emailaddress Textbox with values 'afc3990@gmail.com'
[2023-07-09 22:36:32,205] Register_Step 05: Enter to password Textbox with values '123456'
[2023-07-09 22:36:42,728] Register_Step 06: Enter to confirmPassword Textbox with values '123456'
[2023-07-09 22:36:53,241] Register_Step 07: click to register Button
[2023-07-09 22:36:54,884] Register_Step 08: verify register success Massage is displayed
[2023-07-09 22:36:54,925] Login_Step 01: Navigate to login page
[2023-07-09 22:37:14,958] OS name = mac os x
[2023-07-09 22:37:14,959] Driver instance name = firefoxdriver: firefox on mac (376232c8-11a0-4330-a2ec-b0bb33053ba3)
[2023-07-09 22:38:33,372] Register_Step 01:Navigate to register Page
[2023-07-09 22:38:34,702] Register_Step 02: Enter to fistName Textbox with values 'Automation'
[2023-07-09 22:38:44,831] Register_Step 03: Enter to LastName Textbox with values 'FC'
[2023-07-09 22:38:55,329] Register_Step 04: Enter to emailaddress Textbox with values 'afc4012@gmail.com'
[2023-07-09 22:39:05,837] Register_Step 05: Enter to password Textbox with values '123456'
[2023-07-09 22:39:16,338] Register_Step 06: Enter to confirmPassword Textbox with values '123456'
[2023-07-09 22:39:26,836] Register_Step 07: click to register Button
[2023-07-09 22:39:27,954] Register_Step 08: verify register success Massage is displayed
[2023-07-09 22:39:47,997] Login_Step 01: Navigate to login page
[2023-07-09 22:40:08,027] OS name = mac os x
[2023-07-09 22:40:08,028] Driver instance name = firefoxdriver: firefox on mac (fdf5f602-59be-47ea-b344-8c9780b98ce9)
